MSOA11CD,street_length,median_ebc,msoa_area,street_density
E02000813,27537.21,4627.0,895040.9495234825,0.009477943341365867
E02000815,14630.257999999998,8641.0,417987.9827473276,0.00503554123288324
E02000818,21297.32599999998,7009.0,586053.7243116499,0.007330257827521305
E02000820,14478.676000000003,5372.0,449805.41448843415,0.004983368714041612
E02000864,41366.581,7823.0,1257171.5169248576,0.014237829865263103
E02000865,13400.032999999989,6799.0,459445.5362549591,0.004612114064802962
E02000866,37906.503,9850.0,1134576.6547548773,0.01304691679742847
E02000867,25713.660000000003,5509.0,815812.3977798957,0.00885030155847836
E02000868,12874.949999999997,7106.0,356615.9306032219,0.0044313874434962165
E02000869,13834.354999999994,5774.0,319462.85654370405,0.004761601950754689
E02000870,14139.194000000007,5320.5,395469.3354296646,0.004866523501276284
E02000871,23723.506999999998,5020.0,668919.2407892299,0.008165317227289784
E02000872,16054.606999999998,5600.0,458647.1709954648,0.005525783313338418
E02000873,17728.486000000004,4423.0,503243.14682260854,0.006101910318300149
E02000874,12920.229,5685.0,344286.2558261749,0.00444697187621666
E02000875,21101.169999999995,4884.0,666997.4528997329,0.00726274352763149
E02000876,18964.75400000001,6819.0,538628.993698903,0.006527417407026412
E02000877,29007.757000000056,6249.5,806282.6982269714,0.009984086162182357
E02000878,21459.007000000012,12290.0,636625.9910590482,0.007385906288544615
E02000879,16648.450999999986,12589.0,442486.5180495868,0.005730176561078838
E02000880,13440.453000000009,4969.0,371543.92533277004,0.004626026094012101
E02000881,21208.894000000015,4870.0,704858.4141136142,0.007299820703151649
E02000882,20340.495999999996,6120.0,574023.283036591,0.007000929601193404
E02000883,19125.811000000012,8990.5,470320.92010029894,0.00658285109550576
E02000884,18510.464000000007,9200.0,545133.5389943658,0.006371056799668254
E02000885,9199.484999999997,4335.0,334912.67013453884,0.003166341020014197
E02000886,17799.818000000007,4402.0,490899.4118112321,0.006126461848917315
E02000887,20187.269000000015,5225.0,578209.7281672362,0.006948190895116525
E02000888,22024.381999999998,9615.0,531892.0484185423,0.007580500883154039
E02000889,22805.89199999999,6494.0,578585.6505239155,0.007849486285114178
E02000890,24754.19199999996,7137.0,557641.3329422651,0.008520065367453413
E02000891,53707.44700000003,6234.0,1522646.5651381174,0.018485392662343444
E02000893,25824.533999999985,2690.0,710675.9912173299,0.008888462922321335
E02000894,16279.13000000001,1965.0,537972.3698493451,0.0056030611593087835
E02000923,34310.119999999995,8630.0,1072799.1527590828,0.011809089352024545
E02000924,55526.26400000003,7112.0,2026115.7956895821,0.019111405409252553
E02000925,14914.789999999995,4090.0,441661.7380933172,0.005133473382683655
E02000926,19766.748999999993,4254.0,630069.3434253399,0.006803453474952631
E02000927,14510.875999999993,2766.0,449645.63650882326,0.004994451528008309
E02000928,27587.01699999999,3422.0,944048.6209343551,0.009495086251777028
E02000929,17196.513000000006,7490.0,402991.90415312874,0.005918812250153942
E02000930,26047.213999999978,5125.0,809227.7312338533,0.008965106432076146
E02000931,22231.219000000005,5717.0,795582.1178387327,0.0076516914419251765
E02000932,42277.47900000001,8112.5,1271002.980335219,0.014551348904910314
E02000933,14226.419999999998,5397.5,611142.4883858437,0.004896545536402351
E02000934,26783.276999999987,7416.0,787059.3211684199,0.009218449577938631
E02000936,22131.429999999997,3848.5,824347.6146405793,0.007617345388418244
E02000940,20501.578999999998,5839.0,699859.2329294732,0.00705637223852875
E02000941,24853.666999999998,7588.5,1001545.983138561,0.008554303346314842
E02000960,24676.928999999993,4537.0,920274.412321154,0.008493472465108419
E02000962,17403.446,7451.0,694009.4290652807,0.005990035850854914
E02000966,17671.907999999996,5766.0,560172.5904656431,0.006082436919275052
E02000967,36826.90999999998,8343.0,1412888.1417379607,0.012675335170759125
E02000968,20872.394000000022,5713.0,612065.4853557943,0.0071840018553319335
E02000969,19458.705000000005,2490.0,539295.0022972616,0.006697428805835913
